time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate
16384,2980,17.5,5,1,-0.902820885181427,,,,,,,,,,
32768,1471,10.82,22,2,-0.3929319679737091,0.294094014717848,0.2,10,-1.3754911719355731,0.158258056640625,0.14790008962154388,-0.008942846281570382,0.037243545055389404,0.011440583,0.0003
49152,1257,7.32,39,3,-0.28666698932647705,0.441019838192733,0.2,20,-1.3463445909321308,0.158172607421875,0.26580601930618286,-0.01220804747681541,0.16748112440109253,0.011556822,0.0003
65536,1174,7.96,55,4,0.022728171199560165,0.48411786374635996,0.2,30,-1.3027810784522444,0.154644775390625,0.249981090426445,-0.01143078110908391,0.21852952241897583,0.010822444,0.0003
81920,1138,6.9,71,5,-0.06382900476455688,0.4958901150384918,0.2,40,-1.2582155249547213,0.105828857421875,0.2341020107269287,-0.009157502682501217,0.20181655883789062,0.009294644,0.0003
98304,1114,6.94,88,6,0.1456051766872406,0.5216425947844983,0.2,50,-1.191497299214825,0.1350341796875,0.17070017755031586,-0.014497024358206545,0.22123056650161743,0.011057461,0.0003
114688,1089,6.18,105,7,0.12418916821479797,0.5135788506129757,0.2,60,-1.1302009924314915,0.11280517578125,0.2576882839202881,-0.012032574891964031,0.2555777430534363,0.009391541,0.0003
131072,1078,5.28,121,8,0.3125915825366974,0.5106746835284867,0.2,70,-1.0614269624464214,0.088641357421875,0.19815267622470856,-0.008885308969365725,0.23509836196899414,0.0091510825,0.0003
147456,1070,4.7,137,9,0.5866662859916687,0.47393361568683756,0.2,80,-0.9883925942005589,0.0999755859375,0.22408339381217957,-0.009212642660713755,0.28672558069229126,0.008839656,0.0003
163840,1063,5.02,154,10,0.38564208149909973,0.4372149983304553,0.2,90,-0.9372950096381828,0.08028564453125,0.21533602476119995,-0.0071550206619576786,0.2946430444717407,0.0071564633,0.0003
180224,1053,4.8,171,11,0.4692385196685791,0.4035374625818804,0.2,100,-0.8598493142053485,0.07733154296875,0.23027747869491577,-0.006339562448374636,0.3351725935935974,0.0068043415,0.0003
196608,1049,5.04,187,12,0.3244946300983429,0.39848954569315537,0.2,110,-0.8028314468450845,0.077569580078125,0.15135139226913452,-0.006012674105841142,0.34953296184539795,0.0064998,0.0003
212992,1046,4.62,203,13,0.7301640510559082,0.3810251660645008,0.2,120,-0.7597582674585283,0.052239990234375,0.2177673727273941,-0.0034329279846133432,0.36482733488082886,0.005020908,0.0003
