rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/loss
-18.00967025756836,354.04761904761904,3387,4,16384,1,,,,,,,,,,
-18.203927993774414,359.73333333333335,1337,24,32768,2,0.0003,10,-1.378583690756932,-0.002625699076543242,0.03245033207967936,0.039617919921875,0.01020637,0.342879056930542,0.2,0.02214103937149048
-18.3599796295166,365.26,1124,43,49152,3,0.0003,20,-1.3808059215545654,-0.0020336712172138506,0.06923864749405766,0.033319091796875,0.008804135,0.17588359117507935,0.2,0.00019789859652519226
-18.694129943847656,370.2,1057,61,65536,4,0.0003,30,-1.3788024843670428,-0.002631004661998304,0.09925908534751215,0.064910888671875,0.0072127213,0.26589518785476685,0.2,0.05895703285932541
-19.259052276611328,377.02,1015,80,81920,5,0.0003,40,-1.3697821753565222,-0.0010251162984786788,0.13687708473917154,0.026617431640625,0.006273036,0.14527243375778198,0.2,-0.00010737590491771698
-18.102563858032227,355.12,979,100,98304,6,0.0003,50,-1.349533166177571,-0.001989473767662275,0.19349953018863744,0.05272216796875,0.0070319157,0.20492011308670044,0.2,0.00672106072306633
-17.634937286376953,344.72,954,120,114688,7,0.0003,60,-1.3381632730830462,-0.0020889724813969225,0.2261827502064989,0.050677490234375,0.005859444,0.2293606996536255,0.2,0.22140973806381226
-17.187013626098633,336.9,945,138,131072,8,0.0003,70,-1.3104804962407797,-0.00216020078623842,0.21494638325384585,0.0606689453125,0.008079343,0.3438531160354614,0.2,0.04701494425535202
-16.700092315673828,326.92,939,156,147456,9,0.0003,80,-1.2708598957397044,-0.0018363111908911377,0.2091572349294438,0.042755126953125,0.0067443643,0.5361257791519165,0.2,0.05935440957546234
-15.761676788330078,316.66,932,175,163840,10,0.0003,90,-1.272209299262613,-0.0024820968614221784,0.2253019758958544,0.056427001953125,0.0068203895,0.5592714548110962,0.2,0.05166640505194664
-15.573600769042969,316.78,924,194,180224,11,0.0003,100,-1.2186601676046849,-0.000930732310644089,0.23810306273808238,0.04693603515625,0.0060344376,0.5334570407867432,0.2,0.08020929992198944
-16.50510597229004,327.46,916,214,196608,12,0.0003,110,-1.22659536129795,-0.002823105653624225,0.1728262296259345,0.065667724609375,0.0069674687,0.7042383551597595,0.2,0.060813792049884796
-16.874900817871094,337.58,913,233,212992,13,0.0003,120,-1.1874761457089336,-0.0027827723210066325,0.1365473902049416,0.064752197265625,0.007491974,0.7504895925521851,0.2,0.17903046309947968
-16.043920516967773,322.36,909,252,229376,14,0.0003,130,-1.1381725247949361,-0.0028996580243983773,0.17496470193218555,0.068389892578125,0.008114729,0.6719602942466736,0.2,0.023944247514009476
-16.852506637573242,334.6,907,270,245760,15,0.0003,140,-1.0746656253933906,-0.0021935506960971906,0.1888593027841125,0.0524658203125,0.0060353205,0.7160661816596985,0.2,0.1517212986946106
-17.250526428222656,342.22,900,291,262144,16,0.0003,150,-0.9778177709784359,-0.002054628015275739,0.1594406971715216,0.070703125,0.006713586,0.7542930841445923,0.2,0.09800833463668823
-15.01871109008789,303.2,898,309,278528,17,0.0003,160,-1.0227482029935344,-0.002084698026374099,0.1954557815377484,0.05145263671875,0.005213918,0.6974056959152222,0.2,0.03158453851938248
-14.10669231414795,290.5,898,328,294912,18,0.0003,170,-0.9692901104455813,-0.0014306909783954325,0.20307258147731772,0.050543212890625,0.0048051695,0.6970736980438232,0.2,0.17097017168998718
-15.519577980041504,316.96,897,346,311296,19,0.0003,180,-1.026995218801312,-0.0019358487955287273,0.16961375145911006,0.062017822265625,0.006372681,0.7491037845611572,0.2,0.034736473113298416
-15.702934265136719,319.86,893,366,327680,20,0.0003,190,-0.9087132111890242,-0.0020644757882109844,0.13072000744505202,0.062969970703125,0.0058895363,0.805233359336853,0.2,0.043167561292648315
-15.235095024108887,311.98,890,386,344064,21,0.0003,200,-0.9110909986309708,-0.0021506371598661645,0.18041915538669856,0.060791015625,0.006501953,0.6953039169311523,0.2,0.10032778233289719
-16.317523956298828,331.5,889,405,360448,22,0.0003,210,-0.8498030111659318,-0.0015321121609758847,0.1744333022776118,0.049591064453125,0.005437621,0.7581999897956848,0.2,0.019093720242381096
-15.840997695922852,319.12,888,423,376832,23,0.0003,220,-0.8269679128425196,-0.0012230693201672692,0.21244146070093847,0.038421630859375,0.0034172428,0.6432835459709167,0.2,0.10654067993164062
-17.32260513305664,351.22,887,442,393216,24,0.0003,230,-0.8197068695910275,-0.0015568029528367333,0.2172063399644685,0.057403564453125,0.0050117895,0.589078426361084,0.2,0.1392478197813034
-17.704439163208008,361.12,884,462,409600,25,0.0003,240,-0.8493617421714589,1.7427968896299716e-05,0.19029885404379457,0.02923583984375,0.0030609972,0.7000121474266052,0.2,0.0963679850101471
